,CommunityName,IncorporationType,BoroughCensusArea,NativeRegionalHealthCarePro,SchoolDistrict,ClimateRegion,EnergyRegion,EconomicRegion,sqMiLand,sqMiWater
163,Saint Mary's,1st Class City,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Saint Mary's School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,44.0,6.3
164,Sand Point,1st Class City,Aleutians East Borough,"Eastern Aleutian Tribes, Incorporated",Aleutians East Borough School District,Southwest Maritime,Aleutians,Southwest Economic Region,7.8,21.1
165,Seldovia,1st Class City,Kenai Peninsula Borough,Seldovia Village Tribe,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,0.4,0.2
166,Tanana,1st Class City,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,11.6,4.0
167,Unalaska,1st Class City,Aleutians West Census Area,"Aleutian Pribilof Islands Association, Incorporated",Unalaska City School District,Southwest Maritime,Aleutians,Southwest Economic Region,111.0,101.3
168,Utqiagvik,1st Class City,North Slope Borough,"Arctic Slope Native Association, Limited",North Slope Borough School District,Arctic,North Slope,Northern Economic Region,18.4,2.9
169,Wasilla,1st Class City,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,11.7,0.7
170,Aleutians East Borough,2nd Class Borough,Aleutians East Borough,"Eastern Aleutian Tribes, Incorporated",Aleutians East Borough School District,Southwest Maritime,Aleutians,Southwest Economic Region,6988.1,8023.5
171,Bristol Bay Borough,2nd Class Borough,Bristol Bay Borough,Bristol Bay Area Health Corporation,Bristol Bay Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,504.9,382.8
172,Fairbanks North Star Borough,2nd Class Borough,Fairbanks North Star Borough,"Tanana Chiefs Conference, Department of Health Services",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,7361.0,105.14
173,Kenai Peninsula Borough,2nd Class Borough,Kenai Peninsula Borough,Kenaitze Indian Tribe,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,16013.3,8741.3
174,Ketchikan Gateway Borough,2nd Class Borough,Ketchikan Gateway Borough,Southeast Alaska Regional Health Consortium,Ketchikan Gateway Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,4898.9,1981.3
175,Kodiak Island Borough,2nd Class Borough,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,6559.8,5463.8
176,Matanuska-Susitna Borough,2nd Class Borough,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,24681.5,578.3
177,Adak,2nd Class City,Aleutians West Census Area,"Eastern Aleutian Tribes, Incorporated",Aleutian Region School District,Southwest Maritime,Aleutians,Southwest Economic Region,122.4,4.9
178,Akhiok,2nd Class City,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,7.9,2.5
179,Akiak,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Yupiit School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,2.0,1.1
180,Akutan,2nd Class City,Aleutians East Borough,"Eastern Aleutian Tribes, Incorporated",Aleutians East Borough School District,Southwest Maritime,Aleutians,Southwest Economic Region,65.58,82.33
181,Alakanuk,2nd Class City,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Lower Yukon School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,32.4,8.7
182,Aleknagik,2nd Class City,Dillingham Census Area,Bristol Bay Area Health Corporation,Southwest Region School District,Western Transitional,Bristol Bay,Southwest Economic Region,25.87,17.39
183,False Pass,2nd Class City,Aleutians East Borough,"Eastern Aleutian Tribes, Incorporated",Aleutians East Borough School District,Southwest Maritime,Aleutians,Southwest Economic Region,26.8,41.4
184,Fort Yukon,2nd Class City,Yukon-Koyukuk Census Area,"Council of Athabascan Tribal Governments, Incorporated",Yukon Flats School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,7.0,0.4
185,Gambell,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Northern Economic Region,10.9,19.5
186,Golovin,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Northern Economic Region,3.7,
187,Goodnews Bay,2nd Class City,Bethel Census Area,Bristol Bay Area Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,3.2,
188,Grayling,2nd Class City,Yukon-Koyukuk Census Area,Yukon-Kuskokwim Health Corporation,Iditarod Area School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,10.9,0.1
189,Gustavus,2nd Class City,Hoonah-Angoon Census Area,Southeast Alaska Regional Health Consortium,Chatham School District,Southeast Maritime,Southeast,Southeast Economic Region,33.2,22.0
190,Holy Cross,2nd Class City,Yukon-Koyukuk Census Area,Yukon-Kuskokwim Health Corporation,Iditarod Area School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,31.3,6.2
191,Hooper Bay,2nd Class City,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Lower Yukon School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,8.7,0.1
192,Houston,2nd Class City,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,22.4,1.2
193,Hughes,2nd Class City,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,3.1,
194,Huslia,2nd Class City,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,16.4,0.7
195,Kachemak,2nd Class City,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,1.61,
196,Kaktovik,2nd Class City,North Slope Borough,"Arctic Slope Native Association, Limited",North Slope Borough School District,Arctic,North Slope,Northern Economic Region,0.8,0.2
197,Kaltag,2nd Class City,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,23.3,4.1
198,Kasaan,2nd Class City,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Southeast Island School District,Southeast Maritime,Southeast,Southeast Economic Region,5.3,0.9
199,Kiana,2nd Class City,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,Northwest Arctic,Northern Economic Region,0.2,
200,Kivalina,2nd Class City,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,Northwest Arctic,Northern Economic Region,1.9,2.0
201,Kobuk,2nd Class City,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,Northwest Arctic,Northern Economic Region,16.1,0.7
202,Kotlik,2nd Class City,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Lower Yukon School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,3.8,0.8
203,Kotzebue,2nd Class City,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,Northwest Arctic,Northern Economic Region,27.0,1.7
204,Koyuk,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Northern Economic Region,4.7,
205,Koyukuk,2nd Class City,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,6.2,0.1
206,Kupreanof,2nd Class City,Petersburg Borough,Southeast Alaska Regional Health Consortium,Petersburg Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,4.0,2.1
207,Kwethluk,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,10.0,1.7
208,Larsen Bay,2nd Class City,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,5.4,2.2
209,Lower Kalskag,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Kuspuk School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,1.3,0.4
210,Manokotak,2nd Class City,Dillingham Census Area,Bristol Bay Area Health Corporation,Southwest Region School District,Western Transitional,Bristol Bay,Southwest Economic Region,36.4,0.9
211,Marshall,2nd Class City,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Lower Yukon School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,4.7,0.0
212,McGrath,2nd Class City,Yukon-Koyukuk Census Area,Southcentral Foundation,Iditarod Area School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,48.9,5.7
213,Mekoryuk,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,7.4,0.1
214,Mountain Village,2nd Class City,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Lower Yukon School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,4.3,
215,Napakiak,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,4.7,0.3
216,Napaskiak,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,3.5,0.4
217,New Stuyahok,2nd Class City,Dillingham Census Area,Bristol Bay Area Health Corporation,Southwest Region School District,Western Transitional,Bristol Bay,Southwest Economic Region,32.6,2.0
218,Newhalen,2nd Class City,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,6.1,2.3
219,Nightmute,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,97.0,4.6
220,Nikolai,2nd Class City,Yukon-Koyukuk Census Area,Southcentral Foundation,Iditarod Area School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,4.5,0.3
221,Nondalton,2nd Class City,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,8.4,0.4
222,Noorvik,2nd Class City,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,Northwest Arctic,Northern Economic Region,1.0,0.4
223,Nuiqsut,2nd Class City,North Slope Borough,"Arctic Slope Native Association, Limited",North Slope Borough School District,Arctic,North Slope,Northern Economic Region,9.2,
224,Nulato,2nd Class City,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,42.7,2.0
225,Nunam Iqua,2nd Class City,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Lower Yukon School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,13.2,5.3
226,Nunapitchuk,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,7.9,0.7
227,Old Harbor,2nd Class City,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,21.0,6.2
228,Ouzinkie,2nd Class City,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,6.0,1.7
229,Pilot Point,2nd Class City,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Southwest Maritime,Bristol Bay,Southwest Economic Region,25.4,115.1
230,Pilot Station,2nd Class City,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Lower Yukon School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,1.7,0.6
231,Platinum,2nd Class City,Bethel Census Area,Bristol Bay Area Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,44.6,0.1
232,Point Hope,2nd Class City,North Slope Borough,"Arctic Slope Native Association, Limited",North Slope Borough School District,Arctic,North Slope,Northern Economic Region,6.3,0.1
233,Port Alexander,2nd Class City,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Southeast Island School District,Southeast Maritime,Southeast,Southeast Economic Region,3.8,11.3
234,Port Heiden,2nd Class City,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Southwest Maritime,Bristol Bay,Southwest Economic Region,50.7,0.7
235,Port Lions,2nd Class City,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,6.3,3.7
236,Quinhagak,2nd Class City,Bethel Census Area,Native Village of Kwinhagak,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,4.7,0.6
237,Ruby,2nd Class City,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,7.6,
238,Russian Mission,2nd Class City,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Lower Yukon School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,5.7,0.5
239,Saint George,2nd Class City,Aleutians West Census Area,"Aleutian Pribilof Islands Association, Incorporated",Pribilof School District,Southwest Maritime,Aleutians,Southwest Economic Region,34.8,147.6
240,Saint Michael,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Northern Economic Region,21.8,6.3
241,Saint Paul,2nd Class City,Aleutians West Census Area,"Aleutian Pribilof Islands Association, Incorporated",Pribilof School District,Southwest Maritime,Aleutians,Southwest Economic Region,40.3,255.2
242,Savoonga,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Northern Economic Region,6.1,0.0
243,Saxman,2nd Class City,Ketchikan Gateway Borough,Southeast Alaska Regional Health Consortium,Ketchikan Gateway Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,1.0,0.0
244,Scammon Bay,2nd Class City,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Lower Yukon School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,0.6,
245,Selawik,2nd Class City,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,Northwest Arctic,Northern Economic Region,2.5,0.9
246,Shageluk,2nd Class City,Yukon-Koyukuk Census Area,Yukon-Kuskokwim Health Corporation,Iditarod Area School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,10.6,1.4
247,Indian,Locality,Municipality of Anchorage,Alaska Native Tribal Health Consortium - ANTHC,Anchorage School District,Gulf Coast Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
248,Bird Creek,Locality,Municipality of Anchorage,Alaska Native Tribal Health Consortium - ANTHC,Anchorage School District,Gulf Coast Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
249,Northway Junction,Unincorporated,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
250,Port Clarence,Unincorporated CDP,Nome Census Area,,,Western Transitional,Bering Straits,Northern Economic Region,0.0,0.0
251,Portage Creek,Unincorporated CDP,Dillingham Census Area,Southeast Alaska Regional Health Consortium,Southwest Region School District,Western Transitional,Bristol Bay,Southwest Economic Region,,
252,Tonsina,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Gulf Coast Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
253,Whitestone Logging Camp,Unincorporated CDP,Hoonah-Angoon Census Area,"Tanana Chiefs Conference, Department of Health Services",,Southeast Maritime,Southeast,Southeast Economic Region,,
254,Willow Creek,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Gulf Coast Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
255,Wiseman,Unincorporated CDP,Yukon-Koyukuk Census Area,Southcentral Foundation,Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
256,Attu Station,Unincorporated CDP,Aleutians West Census Area,"Aleutian Pribilof Islands Association, Incorporated",,Southwest Maritime,Aleutians,Southwest Economic Region,,
257,Big Delta,Unincorporated CDP,Southeast Fairbanks Census Area,,Delta-Greely School District,Continental,Railbelt,Interior Economic Region,,
258,Chicken,Unincorporated CDP,Southeast Fairbanks Census Area,Southcentral Foundation,Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
259,Chisana,Unincorporated CDP,Copper River Census Area,Copper River Native Association,,Gulf Coast Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
260,Coldfoot,Unincorporated CDP,Yukon-Koyukuk Census Area,"Eastern Aleutian Tribes, Incorporated",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,37.0,
261,Dot Lake Village,Unincorporated CDP,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
262,Evansville,Unincorporated CDP,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
263,Flat,Unincorporated CDP,Yukon-Koyukuk Census Area,Southcentral Foundation,,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
264,Fort Greely,Unincorporated CDP,Southeast Fairbanks Census Area,Southcentral Foundation,Delta-Greely School District,Continental,Railbelt,Interior Economic Region,,
265,Game Creek,Unincorporated CDP,Hoonah-Angoon Census Area,Southeast Alaska Regional Health Consortium,Hoonah City School District,Southeast Maritime,Southeast,Southeast Economic Region,,
266,Lake Minchumina,Unincorporated CDP,Yukon-Koyukuk Census Area,,Iditarod Area School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
267,Livengood,Unincorporated CDP,Yukon-Koyukuk Census Area,,Yukon Flats School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
268,Mertarvik,Unincorporated CDP,Bethel Census Area,Mt. Sanford Tribal Consortium,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
269,Nabesna,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Gulf Coast Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
270,New Allakaket,Unincorporated,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
271,Northway,Unincorporated CDP,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
272,Kanatak,Locality,Bristol Bay Borough,"Tanana Chiefs Conference, Department of Health Services",,Western Transitional,Kodiak,Gulf Coast Economic Region,,
273,Knik,Locality,Matanuska-Susitna Borough,Southeast Alaska Regional Health Consortium,,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
274,Lignite,Locality,Denali Borough,Bristol Bay Area Health Corporation,,Continental,Railbelt,Interior Economic Region,,
275,Litnik,Locality,Kodiak Island Borough,Kodiak Area Native Association,,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,,
276,Meyers Chuck,Locality,City and Borough of Wrangell,Southeast Alaska Regional Health Consortium,,Southeast Maritime,Southeast,Southeast Economic Region,0.0,0.0
277,Millers Landing,Locality,Kenai Peninsula Borough,Southeast Alaska Regional Health Consortium,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
278,Mountain Point,Locality,Ketchikan Gateway Borough,Southeast Alaska Regional Health Consortium,Ketchikan Gateway Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
279,Oliktok,Locality,North Slope Borough,"Arctic Slope Native Association, Limited",,Arctic,North Slope,Northern Economic Region,,
280,Pauloff Harbor,Locality,Aleutians East Borough,"Aleutian Pribilof Islands Association, Incorporated",,Southwest Maritime,Aleutians,Southwest Economic Region,,
281,Pennock Island,Locality,Ketchikan Gateway Borough,Southeast Alaska Regional Health Consortium,Ketchikan Gateway Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
282,Peters Creek,Locality,Municipality of Anchorage,,Anchorage School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,0.0,0.0
283,Petersburg,CDP,Petersburg Borough,Southeast Alaska Regional Health Consortium,Petersburg Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,43.9,2.2
284,Pile Bay,Locality,Lake and Peninsula Borough,Southcentral Foundation,,Southwest Maritime,Bristol Bay,Southwest Economic Region,,
285,Port Moller,Locality,Aleutians East Borough,"Aleutian Pribilof Islands Association, Incorporated",,Southwest Maritime,Aleutians,Southwest Economic Region,0.0,0.0
286,Port William,Locality,Kodiak Island Borough,Kodiak Area Native Association,,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,,
287,Portage,Locality,Municipality of Anchorage,Southeast Alaska Regional Health Consortium,Anchorage School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
288,Portlock,Locality,Kenai Peninsula Borough,Chugachmiut,,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
289,Rabbit Creek,Locality,Municipality of Anchorage,Native Village of Kwinhagak,Anchorage School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
290,Sanak,Locality,Aleutians East Borough,"Aleutian Pribilof Islands Association, Incorporated",,Southwest Maritime,Aleutians,Southwest Economic Region,,
291,Shuyak Island,Locality,Kodiak Island Borough,Kodiak Area Native Association,,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,,
292,Squaw Harbor,Locality,Aleutians East Borough,Bristol Bay Area Health Corporation,,Southwest Maritime,Aleutians,Southwest Economic Region,,
293,Suntrana,Locality,Denali Borough,Yukon-Kuskokwim Health Corporation,,Continental,Railbelt,Interior Economic Region,,
294,Thane,Locality,City and Borough of Juneau,Southeast Alaska Regional Health Consortium,Juneau Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
295,Thoms Place,Locality,City and Borough of Wrangell,Southeast Alaska Regional Health Consortium,,Southeast Maritime,Southeast,Southeast Economic Region,0.0,0.0
296,Uganik,Locality,Kodiak Island Borough,Kodiak Area Native Association,,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,,
297,Umiat,Locality,North Slope Borough,"Arctic Slope Native Association, Limited",,Arctic,North Slope,Northern Economic Region,,
298,Unga,Locality,Aleutians East Borough,"Aleutian Pribilof Islands Association, Incorporated",,Southwest Maritime,Aleutians,Southwest Economic Region,286.64,
299,Usibelli,Locality,Denali Borough,Yukon-Kuskokwim Health Corporation,Denali Borough School District,Continental,Railbelt,Interior Economic Region,,
300,Uyak,Locality,Kodiak Island Borough,Kodiak Area Native Association,,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,,
301,Ward Cove,Locality,Ketchikan Gateway Borough,Southeast Alaska Regional Health Consortium,Ketchikan Gateway Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
302,Williamsport,Locality,Lake and Peninsula Borough,"Eastern Aleutian Tribes, Incorporated",,Southwest Maritime,Railbelt,Gulf Coast Economic Region,,
303,Woody Island,Locality,Kodiak Island Borough,Kodiak Area Native Association,,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,,
304,Andreafsky,Unincorporated,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Saint Mary's School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
305,Bill Moore's Slough,Unincorporated,Kusilvak Census Area,Southeast Alaska Regional Health Consortium,,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,0.0,0.0
306,Boundary,Unincorporated,Southeast Fairbanks Census Area,"Council of Athabascan Tribal Governments, Incorporated",,Continental,Railbelt,Interior Economic Region,,
307,Canyon Village,Unincorporated,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
308,Chuloonawick,Unincorporated,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
309,Circle Hot Springs,Unincorporated,Yukon-Koyukuk Census Area,"Council of Athabascan Tribal Governments, Incorporated",,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
310,Copperville,Unincorporated,Copper River Census Area,Copper River Native Association,,Gulf Coast Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
311,Council,Unincorporated,Nome Census Area,,,Western Transitional,Bering Straits,Northern Economic Region,0.0,0.0
312,Cube Cove,Unincorporated,Hoonah-Angoon Census Area,Southeast Alaska Regional Health Consortium,,Southeast Maritime,Southeast,Southeast Economic Region,0.0,0.0
313,Ekuk,Unincorporated,Dillingham Census Area,Bristol Bay Area Health Corporation,,Western Transitional,Bristol Bay,Southwest Economic Region,,
314,Eyak,Unincorporated,Chugach Census Area,Chugachmiut,Cordova City School District,Gulf Coast Maritime,Copper River/Chugach,Gulf Coast Economic Region,,
315,Fort Glenn,Unincorporated,Aleutians West Census Area,"Aleutian Pribilof Islands Association, Incorporated",,Southwest Maritime,Aleutians,Southwest Economic Region,0.0,0.0
316,Georgetown,Unincorporated,Bethel Census Area,Southcentral Foundation,Kuspuk School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
317,Hamilton,Unincorporated,Kusilvak Census Area,Southeast Alaska Regional Health Consortium,,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
318,Iditarod,Unincorporated,Yukon-Koyukuk Census Area,Southeast Alaska Regional Health Consortium,,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
319,King Island,Unincorporated,Nome Census Area,"Eastern Aleutian Tribes, Incorporated",,Western Transitional,Bering Straits,Southeast Economic Region,0.0,0.0
320,Mary's Igloo,Unincorporated,Nome Census Area,Yukon-Kuskokwim Health Corporation,,Western Transitional,Bering Straits,Northern Economic Region,0.0,0.0
321,Medfra,Unincorporated,Yukon-Koyukuk Census Area,Southcentral Foundation,,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
322,Napaimute,Unincorporated,Bethel Census Area,Yukon-Kuskokwim Health Corporation,,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
323,Nunivak Island,Unincorporated,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
