OBJECTID,CommunityName,Erosion_Ranking,Flood_Ranking,Permafrost_Ranking,Weighted_Total,Flood_Group,Erosion_Group,Permafrost_Group,Threat_Assessemt_Rank,Status14c3,MunicipalLandTrust,Status,TOTAL_SCORE,DataYear,Season,Key_Hazard_Threat,Hazards_Summary,Risk_MAP_Community_,NFIP_Community_
152,Perryville,,,,,,,,,Completed,Yes,Completed,27,2020,Fall,,,,
153,Togiak,37,35,0,72,2,2,3,59,Completed,No,,75,2020,Fall,,,No,Yes
154,Kongiganak,30,28,35,93,2,2,1,37,Not Completed,Yes,Partial,45,2020,Fall,,,,
155,Atmautluak,22,25,34,81,3,2,1,61,Not Completed,Yes,No,30,2020,Fall,,,,
156,False Pass,,,,,,,,,Completed,No,,62,2020,Fall,,,,
157,Healy Lake,,,,,,,,,Not Completed,Yes,No,100,2020,Fall,,,,
158,Birch Creek,27,24,19,70,,,,,Not Completed,Yes,No,100,2020,Fall,,,,
159,Port Graham,26,21,0,47,3,2,3,87,Not Completed,Yes,No,67,2020,Fall,,,,
160,Golovin,44,44,27,115,1,1,2,4,Not Completed,No,,65,2020,Fall,"Storm surge flooding
Erosion
Permafrost degradation","Golovin experiences significant flooding, erosion, permafrost subsidence, severe storms and wildland fires. Storm surge flooding and erosion pose particular threats to the community. Golovin was included in Federally-Declared Disaster Declarations in 2005, 2011 and 2013, State of Alaska Disaster Declarations in 2004, 2005, 20111 and 2013 and historical local events in 1913, 1945 and 1946. In the flood of record in 1992, floodwater damaged public facilities and infrastructure. ",Prioritized 2018,No
161,Mekoryuk,24,19,29,72,2,2,1,51,Completed,No,,70,2020,Fall,,,,
162,Rampart,19,26,23,68,2,3,2,64,Not Completed,Yes,No,32,2020,Fall,,,,
163,Nunapitchuk,35,25,34,94,3,2,1,48,Not Completed,No,,88,2020,Fall,,,Prioritized 2018,No
164,South Naknek,29,19,26,74,3,2,2,59,Completed,Yes,Completed,55,2020,Fall,,,,
165,Chignik,19,19,0,38,3,2,3,101,Completed,No,,50,2020,Fall,,,,
166,Alatna,24,30,32,86,3,2,1,56,Completed,No,,65,2020,Fall,,,,
167,Crooked Creek,19,27,24,70,2,3,2,64,Not Completed,Yes,Partial,35,2020,Fall,,,,
168,Nondalton,19,29,0,48,,,,,Completed,No,,25,2020,Fall,,,,
169,Scammon Bay,19,22,21,62,3,3,3,112,Not Completed,,,68,2020,Fall,,,,
170,Shungnak,19,19,32,70,3,3,1,81,,,,42,2020,Fall,,,,
171,Napaskiak,25,40,24,89,1,2,3,23,Not Submitted,,,25,2020,Fall,Flooding,,,
172,Chistochina,21,27,19,67,2,3,3,70,Not Completed,Yes,No,25,2020,Fall,,,,
173,Anaktuvuk Pass,19,22,32,73,3,3,2,85,Not Completed,,,45,2020,Fall,,,,
174,Arctic Village,19,19,28,66,3,3,2,92,Not Required,No,,35,2020,Fall,,,,
175,Gambell,25,33,26,84,1,3,2,41,Not Required,No,,35,2020,Fall,,,,
176,Tetlin,19,22,19,60,,,,,Not Required,No,,42,2020,Fall,,,,
177,Savoonga,37,25,34,96,1,1,1,9,Not Required,,,57,2020,Fall,"Coastal erosion
Permafrost degradation
Flooding
Sea ice loss","Savoonga is threatened by erosion, flooding, subsidence due to permafrost degradation and severe weather.  Coastal erosion threatens community infrastructure, facilities and buildings. Savoonga�s location on Saint Lawrence Island in the middle of the Bering Sea makes it especially vulnerable to serve weather.  A reduction in the extent of Bering Sea ice has added to Savoonga�s vulnerability because the sea ice serves as a buffer against the effects of sea storms.  Savoonga has Been impacted by a number of sever storm events.  Most recently, a Presidentially-Declared Disaster was made in 2016, when sea storm bearing hurricane-force winds damaged approximately 30 homes and a number of public facilities in Savoonga. The community lost power and 90 residents had to shelter at the village school.  ",No,No
178,Elim,24,32,22,78,1,2,3,34,Not Required,No,,70,2020,Fall,,,,
179,Venetie,28,26,19,73,2,1,3,40,Not Required,No,,30,2020,Fall,,,,
180,Eagle,23,45,24,92,1,2,2,14,Not Completed,Yes,No,100,2020,Fall,Flooding,,,
