X,Y,OBJECTID,CommunityName,EntityName,LocalityType,IncorporationType,IncorporationDate,BoroughOrCensusArea,PublicEducationPowers,PlanningAndLandUseRegulation,PropertyTax,SalesTax,OtherPowersNotProhibited,CityCouncilAssemblyComposition,ElectionAndTermOfMayor,VoteByMayorForCities,VetoPowerOfTheMayor,PowerOfEminentDomainCitiesOnly,AbilityToAttainHomeRuleStatus,ProvideTransportationSystems,LicenseDayCareFacilitiesBorough,ProvideAdditionalServiceBorough,DataYear,AsOfDate
-162.02949727,60.2189059200001,39,Eek,City of Eek,Community,2nd Class City,1970,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-157.37575053,58.2090702300001,40,Egegik,City of Egegik,Community,2nd Class City,1985,Lake and Peninsula Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-157.47804697,59.3502442700001,41,Ekwok,City of Ekwok,Community,2nd Class City,1974,Dillingham Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-162.26450688,64.61655211,42,Elim,City of Elim,Community,2nd Class City,1970,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-164.52984686,62.7769473800001,43,Emmonak,City of Emmonak,Community,2nd Class City,1964,Kusilvak Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-147.72124822,64.83969225,44,Fairbanks,City of Fairbanks,Community,Home Rule City,1903,Fairbanks North Star Borough,Not permitted to provide this service.,May be permitted to exercise powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Some home-rule charters require voter approval to authorize the levy of property taxes.",Rate of levy may be limited by charter. Requirements for voter approval may also be set by charter.,Possess all legislative powers not prohibited by law or charter.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,"Determined by charter or ordinance, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Already has home-rule status.,,,,,2018/05/18 08:00:00+00
-147.72571273,64.8451325500001,45,Fairbanks North Star Borough,Fairbanks North Star Borough,Borough,2nd Class Borough,1964,Fairbanks North Star Borough,Must provide the service areawide in accordance with AS 14.,"The borough must exercise the powers areawide; in accordance with AS 29.40; the borough may allow cities to assume such powers within their boundaries.","Same as in a home rule borough, except there is no charter. Still, some general law boroughs have more limited taxing authority established by local action.","No limits exist on the rate of levy; however, voter approval is required to levy sales taxes.","May be exercised areawide upon areawide voters' approval or by transfer of powers from all cities and approval of nonareawide voters; may be exercised nonareawide by approval of nonareawide voters; may be exercised on a service area basis with voter approval.","Flexible; determined according to AS 29.20.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",,Does not have veto power.,,Voters may adopt home rule charter.,"May be exercised on an areawide or nonareawide basis by ordinance; approval from voters or property owners required for service area powers.","May be exercised on an areawide basis by ordinance; voter approval required for exercise on a nonareawide or service area basis.","May be exercised areawide upon approval of areawide voters or by transfer of powers from all cities; may be exercised by ordinance on a nonareawide basis; may be exercised on a service area basis with voter approval.",,2018/05/18 08:00:00+00
-163.41473878,54.8550308600001,46,False Pass,City of False Pass,Community,2nd Class City,1990,Aleutians East Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-145.24128376,66.5661669,47,Fort Yukon,City of Fort Yukon,Community,2nd Class City,1959,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-156.87712316,64.7426528600001,48,Galena,City of Galena,Community,1st Class City,1971,Yukon-Koyukuk Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-171.71882642,63.7768845400001,49,Gambell,City of Gambell,Community,2nd Class City,1963,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-163.03671154,64.5423909500001,50,Golovin,City of Golovin,Community,2nd Class City,1971,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-161.58225677,59.1182251700001,51,Goodnews Bay,City of Goodnews Bay,Community,2nd Class City,1970,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-160.06572812,62.9064389100001,52,Grayling,City of Grayling,Community,2nd Class City,1969,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-135.73906162,58.4133428700001,53,Gustavus,City of Gustavus,Community,2nd Class City,2004,Hoonah-Angoon Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-135.44794697,59.2343054,54,Haines Borough,Haines Borough,Borough,Non-Unified Home Rule Borough,2002,Haines Borough,Must provide the service areawide in accordance with AS 14.,"Must exercise the powers areawide, but not necessarily in accordance with AS 29.40.","Limited to 30 mills except where a higher levy is necessary to avoid debt; voter approval to levy property taxes is required by some charters.","The rate of levy may be limited by charter, and voter approval to levy sales taxes may be required by charter.",Determined by charter or ordinance.,"Flexible; determined according to AS 29.20.",Established by charter or ordinance AS 29.20.,,Established by charter or ordinance.,,Already has home rule status.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,,2018/05/18 08:00:00+00
-159.77182893,62.1984422,55,Holy Cross,City of Holy Cross,Community,2nd Class City,1968,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-151.53200662,59.64718757,56,Homer,City of Homer,Community,1st Class City,1964,Kenai Peninsula Borough,Not permitted to provide this service.,The city may be permitted to exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-135.44570828,58.10953807,57,Hoonah,City of Hoonah,Community,1st Class City,1946,Hoonah-Angoon Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-166.09643323,61.5308796900001,58,Hooper Bay,City of Hooper Bay,Community,2nd Class City,1966,Kusilvak Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-149.80142669,61.6312394,59,Houston,City of Houston,Community,2nd Class City,1966,Matanuska-Susitna Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-154.25821908,66.0458727800001,60,Hughes,City of Hughes,Community,2nd Class City,1973,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-156.39470172,65.70183545,61,Huslia,City of Huslia,Community,2nd Class City,1969,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-132.8235136,55.2059259000001,62,Hydaburg,City of Hydaburg,Community,1st Class City,1927,Prince of Wales-Hyder Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-134.40663973,58.2998397100001,63,Juneau,City and Borough of Juneau,Borough,Unified Home Rule Borough,1970,City and Borough of Juneau,Must provide the service areawide in accordance with AS 14.,"Must exercise the powers areawide, but not necessarily in accordance with AS 29.40.","Limited to 30 mills except where a higher levy is necessary to avoid debt; voter approval to levy property taxes is required by some charters.","The rate of levy may be limited by charter, and voter approval to levy sales taxes may be required by charter.",Determined by charter or ordinance.,"Flexible; determined according to AS 29.20.",Established by charter or ordinance AS 29.20.,,Established by charter or ordinance.,,Already has home rule status.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,,2018/05/18 08:00:00+00
-151.45273429,59.66696928,64,Kachemak,City of Kachemak,Community,2nd Class City,1961,Kenai Peninsula Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-133.9447988,56.9744498800001,65,Kake,City of Kake,Community,1st Class City,1952,Prince of Wales-Hyder Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-143.6128541,70.1266124700001,66,Kaktovik,City of Kaktovik,Community,2nd Class City,1971,North Slope Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-158.72493203,64.3265639300001,67,Kaltag,City of Kaltag,Community,2nd Class City,1969,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-132.40392924,55.5396225600001,68,Kasaan,City of Kasaan,Community,2nd Class City,1976,Prince of Wales-Hyder Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-151.24880589,60.5590139000001,69,Kenai,City of Kenai,Community,Home Rule City,1960,Kenai Peninsula Borough,Not permitted to provide this service.,May be permitted to exercise powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Some home-rule charters require voter approval to authorize the levy of property taxes.",Rate of levy may be limited by charter. Requirements for voter approval may also be set by charter.,Possess all legislative powers not prohibited by law or charter.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,"Determined by charter or ordinance, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Already has home-rule status.,,,,,2018/05/18 08:00:00+00
-151.07134684,60.4895404100001,70,Kenai Peninsula Borough,Kenai Peninsula Borough,Borough,2nd Class Borough,1964,Kenai Peninsula Borough,Must provide the service areawide in accordance with AS 14.,"The borough must exercise the powers areawide; in accordance with AS 29.40; the borough may allow cities to assume such powers within their boundaries.","Same as in a home rule borough, except there is no charter. Still, some general law boroughs have more limited taxing authority established by local action.","No limits exist on the rate of levy; however, voter approval is required to levy sales taxes.","May be exercised areawide upon areawide voters' approval or by transfer of powers from all cities and approval of nonareawide voters; may be exercised nonareawide by approval of nonareawide voters; may be exercised on a service area basis with voter approval.","Flexible; determined according to AS 29.20.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",,Does not have veto power.,,Voters may adopt home rule charter.,"May be exercised on an areawide or nonareawide basis by ordinance; approval from voters or property owners required for service area powers.","May be exercised on an areawide basis by ordinance; voter approval required for exercise on a nonareawide or service area basis.","May be exercised areawide upon approval of areawide voters or by transfer of powers from all cities; may be exercised by ordinance on a nonareawide basis; may be exercised on a service area basis with voter approval.",,2018/05/18 08:00:00+00
-131.64802329,55.3424333300001,71,Ketchikan,City of Ketchikan,Community,Home Rule City,1900,Ketchikan Gateway Borough,Not permitted to provide this service.,May be permitted to exercise powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Some home-rule charters require voter approval to authorize the levy of property taxes.",Rate of levy may be limited by charter. Requirements for voter approval may also be set by charter.,Possess all legislative powers not prohibited by law or charter.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,"Determined by charter or ordinance, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Already has home-rule status.,,,,,2018/05/18 08:00:00+00
-131.66732712,55.3491724900001,72,Ketchikan Gateway Borough,Ketchikan Gateway Borough,Borough,2nd Class Borough,1963,Ketchikan Gateway Borough,Must provide the service areawide in accordance with AS 14.,"The borough must exercise the powers areawide; in accordance with AS 29.40; the borough may allow cities to assume such powers within their boundaries.","Same as in a home rule borough, except there is no charter. Still, some general law boroughs have more limited taxing authority established by local action.","No limits exist on the rate of levy; however, voter approval is required to levy sales taxes.","May be exercised areawide upon areawide voters' approval or by transfer of powers from all cities and approval of nonareawide voters; may be exercised nonareawide by approval of nonareawide voters; may be exercised on a service area basis with voter approval.","Flexible; determined according to AS 29.20.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",,May vote to break a tie vote.,,Voters may adopt home rule charter.,"May be exercised on an areawide or nonareawide basis by ordinance; approval from voters or property owners required for service area powers.","May be exercised on an areawide basis by ordinance; voter approval required for exercise on a nonareawide or service area basis.","May be exercised areawide upon approval of areawide voters or by transfer of powers from all cities; may be exercised by ordinance on a nonareawide basis; may be exercised on a service area basis with voter approval.",,2018/05/18 08:00:00+00
-160.43731917,66.9742028200001,73,Kiana,City of Kiana,Community,2nd Class City,1964,Northwest Arctic Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-162.31126632,55.0595082400001,74,King Cove,City of King Cove,Community,1st Class City,1947,Aleutians East Borough,Not permitted to provide this service.,The city may be permitted to exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-164.5399655,67.7273868300001,75,Kivalina,City of Kivalina,Community,2nd Class City,1969,Northwest Arctic Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-133.09603454,55.55450419,76,Klawock,City of Klawock,Community,1st Class City,1929,Prince of Wales-Hyder Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
